food,calories,protein,carbs,fats,cost,tags
"Cheese, American, restaurant",1570.0,17.5,6.35,31.1,1.0,veg
"Broccoli, raw",31.0,2.57,6.27,0.34,1.0,veg
"Ketchup, restaurant",488,1.11,26.8,0.55,1.0,veg
"Eggs, Grade A, Large, egg white",55.0,10.7,2.36,0.0,1.0,veg
"Eggs, Grade A, Large, egg yolk",1400.0,16.2,1.02,28.8,1.0,veg
"Eggs, Grade A, Large, egg whole",617,12.4,0.96,9.96,1.0,veg
"Pork, cured, bacon, cooked, restaurant",2090.0,40.9,2.1,36.5,1.0,veg
"Flour, wheat, all-purpose, enriched, bleached",366,10.9,77.3,1.48,1.0,veg
"Flour, wheat, all-purpose, enriched, unbleached",358,13.1,73.2,1.48,1.0,veg
"Flour, wheat, all-purpose, unenriched, unbleached",1510.0,12.0,74.6,1.7,1.0,veg
"Flour, whole wheat, unenriched",1550.0,15.1,71.2,2.73,1.0,veg
"Flour, bread, white, enriched, unbleached",1520.0,14.3,72.8,1.65,1.0,veg
"Flour, rice, white, unenriched",359,6.94,79.8,1.3,1.0,veg
"Flour, corn, yellow, fine meal, enriched",1520.0,6.2,80.8,1.74,1.0,veg
"Onions, red, raw",186,0.94,9.93,0.1,1.0,veg
"Onions, yellow, raw",160,0.83,8.61,0.05,1.0,veg
"Garlic, raw",597,6.62,28.2,0.38,1.0,veg
"Flour, soy, defatted",1530.0,51.1,32.9,3.33,1.0,veg
"Flour, soy, full-fat",1890.0,38.6,27.9,20.7,1.0,veg
"Flour, rice, brown",365,7.19,75.5,3.85,1.0,veg
"Flour, rice, glutinous",1500.0,6.69,80.1,1.16,1.0,veg
"Flour, pastry, unenriched, unbleached",1500.0,8.75,77.2,1.64,1.0,veg
"Onions, white, raw",148,0.89,7.68,0.13,1.0,veg
"Bananas, overripe, raw",357,0.73,20.1,0.22,1.0,veg
"Bananas, ripe and slightly ripe, raw",97.0,0.74,23.0,0.29,1.0,veg
